"n","k","B","seed","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,5,80,9000010,0.00857180738957486,0.804872903163615,0.787807745190793,0.0123346346894808,0.921757184113913,0.954218178534589,0.0435810547844228,0.0346734267325402,0.0386015100138803,0.044822418990787,0.0421318638928568,0.0497801004280091,0.0436119349881228,0.0347331576426655,0.0386988695376864,0.0448580989985675,0.0422183399780875,0.0499604557342063
800,10,80,9000010,0.00857180738957486,0.804872903163615,0.787807745190793,0.0144383508771818,0.935512703444315,1.00089547609967,0.0435810547844228,0.0346734267325402,0.0386015100138803,0.0453084187956909,0.0417644994005796,0.0509861924097523,0.0436119349881228,0.0347331576426655,0.0386988695376864,0.0453451689179668,0.04184772326435,0.0511819797874923
800,15,80,9000010,0.00857180738957486,0.804872903163615,0.787807745190793,0.0123784253520688,0.910873745327825,0.964581523724567,0.0435810547844228,0.0346734267325402,0.0386015100138803,0.0448524039084226,0.0409359698904922,0.0492862262559763,0.0436119349881228,0.0347331576426655,0.0386988695376864,0.0448875586312191,0.0410137497397904,0.0494595808403193
800,20,80,9000010,0.00857180738957486,0.804872903163615,0.787807745190793,0.00845384666176575,0.927069091787052,0.933565051549139,0.0435810547844228,0.0346734267325402,0.0386015100138803,0.0445159961829313,0.0417207076465771,0.0474194050156475,0.0436119349881228,0.0347331576426655,0.0386988695376864,0.0445498934683881,0.0418041998232677,0.0475664659850642
800,25,80,9000010,0.00857180738957486,0.804872903163615,0.787807745190793,0.007699798599078,0.948101850070764,0.94309341862113,0.0435810547844228,0.0346734267325402,0.0386015100138803,0.0445895979035158,0.0420867834745356,0.0470742032694051,0.0436119349881228,0.0347331576426655,0.0386988695376864,0.0446233860731888,0.0421731881156783,0.0472148683377841
800,5,80,9000011,0.049406889631717,0.818857970789455,0.904724464401193,0.0402063456399991,0.920814930941557,1.17126563878893,0.0441738194135764,0.0404489615689379,0.0392637133737849,0.0459006940651324,0.0501406740592561,0.0554635936596937,0.0442012036573331,0.0405485447244066,0.039371005015128,0.045931654663655,0.0502830141689566,0.0556599714283604
800,10,80,9000011,0.049406889631717,0.818857970789455,0.904724464401193,0.0421098037738789,0.917230567974563,1.12358657353128,0.0441738194135764,0.0404489615689379,0.0392637133737849,0.0454669445644754,0.0478270575678953,0.0511757477635837,0.0442012036573331,0.0405485447244066,0.039371005015128,0.0454966398233301,0.0479461271662161,0.051320944960909
800,15,80,9000011,0.049406889631717,0.818857970789455,0.904724464401193,0.0263337938906751,1.04016904798405,1.02360244240045,0.0441738194135764,0.0404489615689379,0.0392637133737849,0.0451359603274945,0.0541852250355769,0.0466900375819229,0.0442012036573331,0.0405485447244066,0.039371005015128,0.0451635598314475,0.054373989337285,0.0467995609873027
800,20,80,9000011,0.049406889631717,0.818857970789455,0.904724464401193,0.0310949646953771,0.998016378077848,1.02406763561722,0.0441738194135764,0.0404489615689379,0.0392637133737849,0.0448795587799786,0.0519660299131432,0.0465992174660335,0.0442012036573331,0.0405485447244066,0.039371005015128,0.0449072158333172,0.0521288801784754,0.0467092559484871
800,25,80,9000011,0.049406889631717,0.818857970789455,0.904724464401193,0.0400700203763694,0.933644877831581,1.12895391995192,0.0441738194135764,0.0404489615689379,0.0392637133737849,0.0455208313606452,0.0487563196839707,0.0516689495644828,0.0442012036573331,0.0405485447244066,0.039371005015128,0.0455504892707017,0.0488836167402435,0.0518186255814148
