"n","vare","B","seed","a1","a2","a3","a4","a5","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.OG.5","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.NG.5","est.RG.1","est.RG.2","est.RG.3","est.RG.4","est.RG.5","est.CG.1","est.CG.2","est.CG.3","est.CG.4","est.CG.5","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.OG.5","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.NG.5","ste.RG.1","ste.RG.2","ste.RG.3","ste.RG.4","ste.RG.5","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","ste.CG.5","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.OG.5","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.NG.5","bcs.RG.1","bcs.RG.2","bcs.RG.3","bcs.RG.4","bcs.RG.5","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4","bcs.CG.5"
800,0.25,80,5000004,0,1,2,3,4,0.0956317168476939,0.170188568933231,0.278094727244183,0.404105787606682,0.523598370420707,0.123218113032776,0.187782650898883,0.271643900655692,0.369029712846255,0.470528328133047,0.0808454855007319,0.155142724685581,0.270704939486741,0.414017086463259,0.557595395379952,0.0702365583953624,0.142997394456268,0.262790259264405,0.417027296899925,0.574504787249514,0.0252729492848905,0.0238860464101337,0.0175333585475834,0.0271221109857211,0.0465608829089714,0.0265921079522097,0.0228024781100489,0.0171955486456225,0.025032888919169,0.0439094921925304,0.0253299563284949,0.0251228886581583,0.0177429098650662,0.0330170116437964,0.0633131046605242,0.0298654979346799,0.0324326964681082,0.0214045349827872,0.0348795197499625,0.0756346305925611,0.0250992880928089,0.0236659202826873,0.017330072269901,0.0273671732669636,0.0463724986072951,0.026658194775431,0.0227500114545585,0.017115686982858,0.0253077123033433,0.0443713880249498,0.0255494652414106,0.0251344042859356,0.0176487545777962,0.0338165712069636,0.0641311959014048,0.030189068022348,0.0329353585275504,0.0224874324414002,0.0353201615768888,0.0822252068851556
8000,0.25,80,5000004,0,1,2,3,4,0.113944255660354,0.169093670471418,0.245140345526776,0.335148669310546,0.423990214863362,0.142986003586692,0.187917884984914,0.244624527101974,0.309404245696575,0.375363516275787,0.114773592026496,0.168117838803323,0.245144974427948,0.337591278806854,0.426324750035234,0.112574641236522,0.165806056281817,0.24356424983112,0.337559363312104,0.427758171346548,0.0083118773539648,0.00674536409269812,0.00509255801066374,0.00853078009703327,0.0137127349041295,0.00839942968286869,0.00646838543806656,0.00507883360133237,0.00752216075280831,0.0118864240950162,0.00953695472703949,0.00739788985668561,0.00521503304804061,0.00935474270960331,0.0149868668203745,0.00986092342527947,0.00786316437209574,0.00542149237507598,0.00977635914051749,0.0157313507588092,0.00829911060157769,0.00674008821206411,0.00509246341835211,0.00854339108774179,0.013723158001267,0.0083918415118817,0.00646542853385389,0.00507931319437283,0.00752957630781924,0.0118967920891934,0.00951212412808185,0.0073898487230694,0.00521625252102901,0.0093721680565048,0.0150002549412014,0.00984499790209563,0.00785904320257302,0.00542368270174822,0.00979088404379025,0.0157443300143824
400,0.25,80,5000005,0,1,2,3,4,0.126724227354709,0.162583099095722,0.251831872967128,0.382991434109826,0.500132447987778,0.139233277249436,0.192820281299491,0.267673795400108,0.357356378353239,0.44729597877422,0.1116928389705,0.169877360119808,0.266878445337562,0.390491177055939,0.504832687446646,0.10712705196607,0.162347944962364,0.261590823356476,0.392424265043787,0.510881571051162,0.0398039026871466,0.0291561706379874,0.0253091613453511,0.0373016598397352,0.0545628509141854,0.0329359803130796,0.0281353228362663,0.0239337079901127,0.0353089008916346,0.0536341730478513,0.0352925222191361,0.0301866897338723,0.0243643260602987,0.0425170372124836,0.0637481381627342,0.0358990050572551,0.0312742708374586,0.0266151167136127,0.0432717689795522,0.0636205794970513,0.0414240755307042,0.0289457983277268,0.0254845912110215,0.0380887465057381,0.0555729111158948,0.0331905519446962,0.028222798812311,0.0241549731379196,0.0360839655210966,0.0548004649215391,0.0361082647677892,0.0304280122829654,0.0248375962560928,0.0441599647305993,0.0657740287369864,0.0370880541995846,0.0315572824281522,0.0276410395472604,0.0448989544851111,0.0655521557470978
800,0.25,80,5000005,0,1,2,3,4,0.101090360972715,0.166538616612503,0.257414305928091,0.364816004988144,0.472046050188234,0.141267578851726,0.192887971042905,0.255439455792757,0.326611625195915,0.402546362284408,0.110256086582073,0.173116183575662,0.257140857106546,0.357020428271756,0.462524511406607,0.10853035500362,0.171459151046941,0.255914394473232,0.356217163005309,0.461468752692175,0.0236338140760149,0.0210980262461951,0.0168910745575618,0.0270987882955666,0.044534961991246,0.0241199544373473,0.0194529001638315,0.0161614883714796,0.0234328606670058,0.0381817564055222,0.0256591557382691,0.0214638163348803,0.0165301829464274,0.028815515200986,0.0507888848310747,0.0258065203801608,0.0220725357714987,0.016915359951632,0.0280151096605245,0.0495414647900649,0.0234723433242253,0.0208616147250861,0.0167167443320389,0.0274581819190876,0.0444105650322786,0.024129514413869,0.0193207271120919,0.0160625001653772,0.0236567789525422,0.0383792168901813,0.0258033891506974,0.0213130263371485,0.0163428861076601,0.0292932127009812,0.050534757486472,0.0258467154722943,0.0219094419502322,0.0167250701472496,0.0283787222443744,0.0494721968362842
8000,0.25,80,5000005,0,1,2,3,4,0.0957254263317072,0.151526683029141,0.233153710714914,0.33395460260329,0.435278094881496,0.127188827014988,0.173930539712931,0.233655625466179,0.303189690229105,0.375810084509042,0.0979858005535536,0.153175389123152,0.234244696352618,0.334248788721017,0.433942057481024,0.0956960888275494,0.150535525538498,0.232248273331751,0.333929309343387,0.435273747952761,0.00765739772562508,0.00654390835173692,0.00509332480437486,0.00889336789537844,0.0148401094249771,0.00797207210037341,0.00633164546411991,0.00501043488035716,0.00767206363088163,0.0126822921212512,0.00866153957274877,0.00711708287714225,0.00515070492632068,0.00976520758416532,0.0166464525778491,0.00895280039994122,0.00751398832598888,0.00532886530366605,0.00991330970082729,0.016991340909547,0.00764398125708944,0.00653667366022457,0.00509240610960465,0.00890679554611522,0.0148449729124776,0.00796362825076722,0.00632689505971265,0.00500990329286195,0.00767974875866036,0.0126901713502516,0.00863966671671389,0.00710712441596744,0.00514996795465247,0.00978296198507021,0.0166478295006937,0.00893905363465232,0.00750799733504194,0.0053297487487932,0.0099287100609416,0.0169975370819206
400,0.25,80,5000006,0,1,2,3,4,0.0953732808485182,0.136475881094348,0.239772035567015,0.393528015347713,0.504709001896097,0.103031330528866,0.146038960414937,0.225877781804977,0.338456220172229,0.446153322332071,0.0829858130621988,0.126049075993982,0.228814385335736,0.386210738453861,0.508667762767714,0.0803836979850234,0.114367817229324,0.214250164701303,0.390607628886465,0.520819560426055,0.0441159927440822,0.0307867030073782,0.0249269004624502,0.0453822803544744,0.0558403897615534,0.0421399421385627,0.0329850225994327,0.0253604467377898,0.0361077693243207,0.0569726884218651,0.0491534697544512,0.0365398227567448,0.0263616279577502,0.0472264847639741,0.0665311714172033,0.0593319162906084,0.0401389371639452,0.03149132455136,0.0739310521192937,0.0941073253005856,0.042061885513396,0.0305727594351625,0.0251333841167972,0.0469021699907321,0.0563146874920255,0.0405779868340528,0.0327766127673427,0.025399043600268,0.0373729629659952,0.0587071272244919,0.0450493924432989,0.0356057558214404,0.0269636291593863,0.0512735055960648,0.0679079916430461,0.0565310501301583,0.0411588062675344,0.0404560220528966,0.0998732931358405,0.116781636386294
800,0.25,80,5000006,0,1,2,3,4,0.10169478925532,0.144548459525077,0.212782466131294,0.303944912706802,0.401814678583428,0.124221075248651,0.163371203336094,0.215488309181535,0.279008648361856,0.348482559057158,0.102571067906049,0.146453664250448,0.213246160332253,0.300650334336947,0.394834506263952,0.099878300416673,0.144249042922014,0.212055849389838,0.300989954158996,0.396204767639543,0.0274154146806598,0.0227802854236716,0.017021861047442,0.0255877787944138,0.0465897425618867,0.0280501176846881,0.0212177124529744,0.0159244291411927,0.0230626415530216,0.0397330418666293,0.0317222501122197,0.023403543656611,0.016337939656508,0.028495475083891,0.0517819593338659,0.0346449657945913,0.0253239724981957,0.0173225550976938,0.0297666864343605,0.0538395437731572,0.0271587757846859,0.0226413323926558,0.016928680362574,0.026013799989266,0.0471087814471499,0.0279054772668503,0.021120693779774,0.0158858028421747,0.0233428917231934,0.0402213728009202,0.0314915480877227,0.0232752081676723,0.0162910998757477,0.0291053013632701,0.0525832041715549,0.0347217267540056,0.025335305179828,0.0174159384666379,0.0304960378570814,0.0548820681953853
8000,0.25,80,5000006,0,1,2,3,4,0.10670504166736,0.163535410172377,0.242002972785351,0.335376662475058,0.428909834180402,0.131504629309951,0.181281416757784,0.242828237380702,0.313101104244105,0.386635509211224,0.100361875220892,0.160265907671866,0.243773546656633,0.343814579978939,0.444976976052532,0.0972814848227741,0.157494465677002,0.242658341400733,0.345219256863633,0.448209122378119,0.00788094728222978,0.00654348361278008,0.00506643631796552,0.00869753671494734,0.0142556197318533,0.0079219365934061,0.00629387486621101,0.0050123763956409,0.00777624839518642,0.0127784935316337,0.00843239418481758,0.00706040767883748,0.00515392597893134,0.0098870822044201,0.0167123863996576,0.00875526346093994,0.0074580762873914,0.00522233819685868,0.0101146626424974,0.0169896855833583,0.00787332761502064,0.00653884201776254,0.00506615508558852,0.00871126539034669,0.0142659249693144,0.00792123216722403,0.00629154454041111,0.00501152107870715,0.00778535373320707,0.0127906844322987,0.00842942486481558,0.00705700031075495,0.00515255897038781,0.00990727221940326,0.0167233320507177,0.00875613247133705,0.00745749685779111,0.00522193515826482,0.0101334158576976,0.017007642806656
400,0.25,80,5000007,0,1,2,3,4,0.0755700190107084,0.129029581646714,0.218258444165823,0.332419558574846,0.436682237774486,0.128834415090279,0.170286122038997,0.222235463968514,0.281750357204621,0.343250964675243,0.0964838231445004,0.14585073316778,0.217874156573883,0.306386677807433,0.394809678556212,0.0979702640160216,0.145277803004528,0.21587412740897,0.303660836564692,0.390763473398716,0.0305121133960641,0.0286882556661982,0.0229471044470335,0.0378577509870057,0.0565174389060031,0.035989165734883,0.0294270134690363,0.0221419513571824,0.0298293045955471,0.0486453958812813,0.0384884815533116,0.0336081696424827,0.0226875355625216,0.0369448208458308,0.0642856048957953,0.0413009341021878,0.0367296647890467,0.0245846178368769,0.0369319798122426,0.0649901728054706,0.0291496839230006,0.0278254611384657,0.0229085945866349,0.0393433984262749,0.0569129586018749,0.0357553812068286,0.0293195746546994,0.0220731875405013,0.0304579025916015,0.0497296871652616,0.0376151673880083,0.0334267196149483,0.0226494983146115,0.0387382553410017,0.0658228759375797,0.0405408000201126,0.0369599760335371,0.0248623198563756,0.0382951553422485,0.066576373016532
800,0.25,80,5000007,0,1,2,3,4,0.0985636816595615,0.155605377275531,0.241980350272882,0.346616918058307,0.446771009549777,0.124856280145191,0.17729595790374,0.24521085255792,0.32273190906917,0.400068833411257,0.0898898834240645,0.150129788234109,0.243499331052828,0.356779105199124,0.462350637769623,0.08519561014173,0.146322998375782,0.240651384706243,0.35598717583874,0.465477951922029,0.0235399972405253,0.0205213349631081,0.0167538418412939,0.0270852329617588,0.0427060813775564,0.0270684436984307,0.0220973756202605,0.0168606470402904,0.024203466690803,0.0396016519451785,0.0282621073384101,0.0246266707087429,0.0176976281844677,0.0313194750269741,0.0533478364085257,0.0303750961690872,0.0274900639533447,0.0198031807985487,0.0323396502190384,0.0559338209778328,0.0236044259080612,0.0204819674976167,0.0167996013073278,0.0274676891821144,0.0431068961998428,0.0267849851247909,0.0218748124346383,0.016847957641805,0.0245063171000857,0.0396940732316875,0.0277867421547857,0.0242413354421585,0.0177152848941123,0.0320181376097889,0.0527936454241967,0.030109838867945,0.0270887691681513,0.0199651444846819,0.033400074928456,0.0557562198716884
8000,0.25,80,5000007,0,1,2,3,4,0.104920056159652,0.162642439544935,0.244819264979161,0.343005964348879,0.438194627009456,0.135888206186529,0.184131906206349,0.244132892353908,0.312386148957108,0.382530861242077,0.10568091037056,0.16348141218073,0.245032939546421,0.342317750378839,0.437484820303161,0.103305314277457,0.161137935117168,0.243730749997648,0.342869453348829,0.439606533579584,0.00758436954794279,0.00650784229900542,0.00512178712950469,0.00849639638160671,0.0131964420699098,0.00784539489151926,0.00620214155935797,0.00504173788562394,0.00765222361893766,0.0121798825712681,0.00856639546592552,0.00700323101589338,0.00518837988660115,0.00956406642980536,0.015540280871107,0.00891220095190539,0.00746442547424654,0.00533029751855467,0.00991279416738382,0.0160882651575543,0.00757322588524753,0.00650344735270002,0.00512142179023072,0.00850852499075524,0.0132047392722421,0.00784029734054853,0.00619901674776372,0.00504183454263532,0.00766034505716481,0.0121899587613727,0.00855134641319727,0.00699678351987197,0.00518906866389856,0.00958256020050604,0.0155493294809603,0.00890402954051965,0.00746190311248586,0.00533143108962758,0.00992851784368732,0.016100176578141
400,0.25,80,5000008,0,1,2,3,4,0.0707594209341072,0.134238446549676,0.238218733227865,0.368903952806733,0.49054292409097,0.130846632523984,0.180687829181451,0.242348171858283,0.313103864144145,0.387864509540202,0.0992668998982779,0.159110430010269,0.242402474523722,0.342830652252047,0.446200772819692,0.0923490474095629,0.152853641636831,0.239974735189596,0.34667184500958,0.455651723878517,0.031002422133404,0.0307360700366681,0.0235211537530622,0.0414107213541597,0.0708925932716158,0.0378465632242264,0.0303631707486407,0.0225998732686479,0.0338061070010323,0.0591795402104068,0.0398844022840537,0.0340979216542408,0.0230212758846552,0.0434351031142485,0.0801335678904821,0.0459463813286826,0.0403651056978596,0.0249924608458524,0.0473375239314272,0.0892782757218736,0.0301816199751053,0.0300045474049298,0.0236501702024359,0.0438601402267726,0.0720395056478853,0.037521801335749,0.0298483791347385,0.0224677939779495,0.0357134110313655,0.0617650511541973,0.039546750376349,0.0334883985239084,0.0231665317257089,0.0483656246510429,0.0845770965024903,0.0458742326975791,0.0400204320740337,0.0248068597387836,0.05082234324177,0.0913711548759426
800,0.25,80,5000008,0,1,2,3,4,0.103038879267258,0.148747105675149,0.214718694073922,0.298660300677327,0.391435452816099,0.115512109530491,0.157099781331773,0.211619878188213,0.280476398759474,0.36378857109496,0.0885270597550426,0.137008086751212,0.209189752433823,0.308907171186972,0.434903438664385,0.0868796620181112,0.134830710713248,0.206637004284146,0.30712062779199,0.436577877602288,0.0232133703178138,0.0179859201820067,0.0156278619982755,0.0277455365541488,0.0468514743085843,0.0220372341299438,0.0179947054815267,0.0151814159088698,0.0229757951712662,0.0430315141031211,0.0235715801561361,0.0194916410098352,0.0154382203959604,0.0300890971613645,0.0646095060621123,0.0236331814548672,0.0203316532944912,0.0158420974927968,0.0293569468170842,0.071044484687756,0.0234427338147258,0.017978397903469,0.0157985814184004,0.0282978428050504,0.0474417119407776,0.0221238119020742,0.0179131567564443,0.0151383306458857,0.0232740371644809,0.0431166187563843,0.0239360800312401,0.0195387887955532,0.0154764453835959,0.0307517288835564,0.0642678793743888,0.0240317387361357,0.0207816017932672,0.0165863540872863,0.0298924304600116,0.0740245587688065
