"n","B","vare","seed","ps","out","method","type","est","se"
2000,30,0.16,2000004,0,0,"ipw","mccs",0.744811592409942,0.0302815302947429
2000,30,0.16,2000004,0,0,"dr","naive",0.658452800712294,0.0160064216553607
2000,30,0.16,2000004,0,0,"dr","oracle",0.732807469835822,0.0151388249511415
2000,30,0.16,2000004,0,0,"dr","mccs",0.76262567136894,0.0199381227145229
2000,30,0.16,2000004,1,0,"gfmla","naive",0.650875382852701,0.0134595739302595
2000,30,0.16,2000004,1,0,"gfmla","oracle",0.730153906823564,0.0132107310087218
2000,30,0.16,2000004,1,0,"gfmla","mccs",0.744216112192273,0.0157247998644271
2000,30,0.16,2000004,1,0,"ipw","naive",0.605481554222079,0.016964555583223
2000,30,0.16,2000004,1,0,"ipw","oracle",0.677296587308342,0.0165647543157519
2000,30,0.16,2000004,1,0,"ipw","mccs",0.679297152113636,0.0195019948744348
2000,30,0.16,2000004,1,0,"dr","naive",0.650790360845359,0.014716633560189
2000,30,0.16,2000004,1,0,"dr","oracle",0.732855142135181,0.0138752054156575
2000,30,0.16,2000004,1,0,"dr","mccs",0.746283013393561,0.0173416416875819
2000,30,0.16,2000004,0,1,"gfmla","naive",0.599664036599964,0.0162193022996993
2000,30,0.16,2000004,0,1,"gfmla","oracle",0.658075759052931,0.0164099817973794
2000,30,0.16,2000004,0,1,"gfmla","mccs",0.671785345420522,0.0184599466904041
2000,30,0.16,2000004,0,1,"ipw","naive",0.657699550780475,0.0233641360766254
2000,30,0.16,2000004,0,1,"ipw","oracle",0.749259067619354,0.0272779328332421
2000,30,0.16,2000004,0,1,"ipw","mccs",0.744811592157368,0.0302815302879455
2000,30,0.16,2000004,0,1,"dr","naive",0.644530692025188,0.0234210796356158
2000,30,0.16,2000004,0,1,"dr","oracle",0.72485868144335,0.0253776811665995
2000,30,0.16,2000004,0,1,"dr","mccs",0.73459503771019,0.0316274470489715
2000,30,0.16,2000004,1,1,"gfmla","naive",0.599664036599964,0.0162193022996993
2000,30,0.16,2000004,1,1,"gfmla","oracle",0.658075759052931,0.0164099817973794
2000,30,0.16,2000004,1,1,"gfmla","mccs",0.671785345420522,0.0184599466904041
2000,30,0.16,2000004,1,1,"ipw","naive",0.605481554222079,0.016964555583221
2000,30,0.16,2000004,1,1,"ipw","oracle",0.677296587308342,0.0165647543157519
2000,30,0.16,2000004,1,1,"ipw","mccs",0.679297152113636,0.0195019948744348
2000,30,0.16,2000004,1,1,"dr","naive",0.610610917363817,0.0186765983999997
2000,30,0.16,2000004,1,1,"dr","oracle",0.674259294427566,0.0179736883431645
2000,30,0.16,2000004,1,1,"dr","mccs",0.689161002478206,0.0224360935126609
2000,30,0.16,2000005,0,0,"gfmla","naive",0.656822969374555,0.0131051754513595
2000,30,0.16,2000005,0,0,"gfmla","oracle",0.751974447623158,0.0129143593699444
2000,30,0.16,2000005,0,0,"gfmla","mccs",0.758859848362065,0.0157491169194222
2000,30,0.16,2000005,0,0,"ipw","naive",0.674360548097948,0.0289771236797768
2000,30,0.16,2000005,0,0,"ipw","oracle",0.774243212062075,0.029268168868977
2000,30,0.16,2000005,0,0,"ipw","mccs",0.778778073712327,0.0380260403870436
2000,30,0.16,2000005,0,0,"dr","naive",0.653901074713777,0.0134977841079743
2000,30,0.16,2000005,0,0,"dr","oracle",0.762160749490464,0.0137685411634188
2000,30,0.16,2000005,0,0,"dr","mccs",0.757218293552033,0.0170515271276272
2000,30,0.16,2000005,1,0,"gfmla","naive",0.656822969374555,0.0131051754513595
2000,30,0.16,2000005,1,0,"gfmla","oracle",0.751974447623158,0.0129143593699444
2000,30,0.16,2000005,1,0,"gfmla","mccs",0.758859848362065,0.0157491169194222
2000,30,0.16,2000005,1,0,"ipw","naive",0.597971481028756,0.0174517129404711
2000,30,0.16,2000005,1,0,"ipw","oracle",0.680630739570534,0.0172319560257109
2000,30,0.16,2000005,1,0,"ipw","mccs",0.67486999460594,0.022133357859441
2000,30,0.16,2000005,1,0,"dr","naive",0.655329580951589,0.0129221857053933
2000,30,0.16,2000005,1,0,"dr","oracle",0.752108221545253,0.0127839615828452
2000,30,0.16,2000005,1,0,"dr","mccs",0.755826750038543,0.0156920467877265
2000,30,0.16,2000005,0,1,"gfmla","naive",0.602331684845244,0.0160356893470018
2000,30,0.16,2000005,0,1,"gfmla","oracle",0.685488305954866,0.0165204323898372
2000,30,0.16,2000005,0,1,"gfmla","mccs",0.6822862387268,0.0182013384978874
2000,30,0.16,2000005,0,1,"ipw","naive",0.674360548097948,0.0289771236797768
2000,30,0.16,2000005,0,1,"ipw","oracle",0.774243212062075,0.029268168868977
2000,30,0.16,2000005,0,1,"ipw","mccs",0.778778073712327,0.0380260403870436
2000,30,0.16,2000005,0,1,"dr","naive",0.677196114667318,0.0236085702828525
2000,30,0.16,2000005,0,1,"dr","oracle",0.782777272031022,0.0226893274893478
2000,30,0.16,2000005,0,1,"dr","mccs",0.788097598145871,0.0307907886864977
2000,30,0.16,2000005,1,1,"gfmla","naive",0.602331684845244,0.0160356893470018
2000,30,0.16,2000005,1,1,"gfmla","oracle",0.685488305954866,0.0165204323898372
2000,30,0.16,2000005,1,1,"gfmla","mccs",0.6822862387268,0.0182013384978874
2000,30,0.16,2000005,1,1,"ipw","naive",0.597971481028756,0.0174517129404711
2000,30,0.16,2000005,1,1,"ipw","oracle",0.680630739570534,0.0172319560257109
2000,30,0.16,2000005,1,1,"ipw","mccs",0.67486999460594,0.022133357859441
2000,30,0.16,2000005,1,1,"dr","naive",0.623433138578637,0.0173834864186891
2000,30,0.16,2000005,1,1,"dr","oracle",0.70583169649724,0.0170644242631956
2000,30,0.16,2000005,1,1,"dr","mccs",0.712805537841245,0.0201733120472423
2000,30,0.16,2000006,0,0,"gfmla","naive",0.653241440805633,0.0133039233042282
2000,30,0.16,2000006,0,0,"gfmla","oracle",0.747150337026016,0.0131679766383419
2000,30,0.16,2000006,0,0,"gfmla","mccs",0.748181109054161,0.0157222226193542
2000,30,0.16,2000006,0,0,"ipw","naive",0.810346041219626,0.128023344698218
2000,30,0.16,2000006,0,0,"ipw","oracle",0.968685434948956,0.15657487931069
2000,30,0.16,2000006,0,0,"ipw","mccs",0.988224407362999,0.1765067450888
2000,30,0.16,2000006,0,0,"dr","naive",0.690118273558692,0.0312090850028581
2000,30,0.16,2000006,0,0,"dr","oracle",0.787696252979743,0.0243613987351718
2000,30,0.16,2000006,0,0,"dr","mccs",0.786311176226082,0.0276916017077362
2000,30,0.16,2000006,1,0,"gfmla","naive",0.653241440805633,0.0133039233042282
2000,30,0.16,2000006,1,0,"gfmla","oracle",0.747150337026016,0.0131679766383419
2000,30,0.16,2000006,1,0,"gfmla","mccs",0.748181109054161,0.0157222226193542
2000,30,0.16,2000006,1,0,"ipw","naive",0.628715260571033,0.0233523389490787
2000,30,0.16,2000006,1,0,"ipw","oracle",0.694556790348926,0.0249648927531452
2000,30,0.16,2000006,1,0,"ipw","mccs",0.70857059075504,0.0284376938522
2000,30,0.16,2000006,1,0,"dr","naive",0.662202919997733,0.0155059835538859
2000,30,0.16,2000006,1,0,"dr","oracle",0.754981913205541,0.0154426493754895
2000,30,0.16,2000006,1,0,"dr","mccs",0.757387960260785,0.0174320563683282
2000,30,0.16,2000006,0,1,"gfmla","naive",0.610193541154314,0.0157928386319639
2000,30,0.16,2000006,0,1,"gfmla","oracle",0.678621952709572,0.0166549224486613
2000,30,0.16,2000006,0,1,"gfmla","mccs",0.683878965537751,0.017808277690426
2000,30,0.16,2000006,0,1,"ipw","naive",0.810346041219626,0.128023344698218
2000,30,0.16,2000006,0,1,"ipw","oracle",0.968685434948956,0.15657487931069
