"n","a","vare","B","seed","est.OL","est.NL","est.CL","est.OG","est.NG","est.CG","ste.OL","ste.NL","ste.CL","ste.OG","ste.NG","ste.CG"
800,3,0.25,80,1000019,0.27237857717057,0.0195942189684097,0.265208334875033,0.345368885786634,0.310586729325085,0.345871477649119,0.196508743505225,0.171996455318201,0.253616561031529,0.0276150562994987,0.0247312641280767,0.0376106772891992
800,3,0.25,80,1000020,0.250057665699662,-0.0489215563478795,0.137821509683193,0.380380713754774,0.327744226933667,0.378081119500941,0.203347261569764,0.171247138757874,0.227231406762076,0.0316471963138948,0.0289446382113828,0.0516603317711941
800,3,0.25,80,1000021,-0.236437301970112,-0.370621572889273,-0.290996798920241,0.278747852834612,0.269762523364006,0.286442804718016,0.179818769477778,0.161231455055024,0.191990533588238,0.0261581522921674,0.0235695208205225,0.0307801603279166
800,3,0.25,80,1000022,-0.0994959739272958,-0.309957198074591,-0.172670932390774,0.323800008359116,0.294435171263259,0.236210916127515,0.188922048673551,0.172083725628136,0.215222679784772,0.0365872594536809,0.0347534812862163,0.0246171277733868
800,3,0.25,80,1000023,-0.0679645499228594,-0.167574621458541,-0.0234227760968422,0.337310920207068,0.329486952245135,0.368425599978435,0.171069610342805,0.155439838704346,0.198930690599239,0.0280026882502158,0.0244961602211535,0.0313616357159606
800,3,0.25,80,1000024,-0.243253458229754,-0.318984651164342,-0.14571047399667,0.305439702790509,0.273274324202048,0.299643768998217,0.180248254422071,0.168698931474108,0.204428547985739,0.0272579258543199,0.0245143017005961,0.0334188718763204
800,3,0.25,80,1000025,0.17338556839703,0.0339267403268559,0.196752197713164,0.317430355539437,0.299325479903559,0.316926807023113,0.190077601677087,0.159512389849267,0.197597681695143,0.0254306233883491,0.0216261773433105,0.0253461926745569
800,3,0.25,80,1000026,0.272766071088337,-0.0814711489943645,0.181031690357935,0.325697211231879,0.287016938897361,0.314069126504275,0.199502969365341,0.187287049544497,0.258638578987247,0.0263554061490476,0.0233520448736933,0.029329245010764
800,3,0.25,80,1000027,0.134008684854455,-0.0788661123718366,0.111965556168214,0.331397291395855,0.305815081056481,0.334048119013181,0.176339029764307,0.146694705657305,0.177192804962668,0.0261877174802814,0.0231892371708661,0.0284747789133452
800,3,0.25,80,1000028,0.000334586737566811,-0.256574070927651,-0.0404761338149038,0.335397452186378,0.302584929817898,0.385552856576738,0.177495577149853,0.153272004058662,0.180365924538875,0.0336684592814232,0.0315937484553484,0.0277610543472274
800,3,0.25,80,1000029,-0.152579274672886,-0.380754151073932,-0.212485299000615,0.29906987607768,0.273565458171308,0.300805505248334,0.208998839764069,0.17967919127205,0.254198687674464,0.0283221123456393,0.0235927567323091,0.0332409018961469
800,3,0.25,80,1000030,0.157399634741985,0.00715678836664235,0.230732316434641,0.328373534062692,0.309691126730602,0.335166391167783,0.18206077737464,0.167651147883706,0.226395305287037,0.0251766682997267,0.0232886177099318,0.0300661075639337
