"B","psi1","psi2","psi3","psi4","psi5","psi6","Time"
76,-0.444405399919844,0.624832524976894,-1.56977076075896,-0.230640633898788,-3.93878681611278,0.0197463111932242,0.159430027008057
77,-0.443339810827236,0.629612043368714,-1.56987096157063,-0.231231542710373,-3.93946756723838,0.0176111073877015,0.324970006942749
78,-0.446233450032493,0.61830664468621,-1.56996652277817,-0.231820071039331,-3.94011821539107,0.0150545297996054,0.149616956710815
79,-0.446558034178733,0.617329020756391,-1.57009229378828,-0.231636373111141,-3.94162637371574,0.0136383069030412,0.160896062850952
80,-0.443652779797398,0.626892264849164,-1.57004400253153,-0.231115803876209,-3.94149220962355,0.0149758583039694,0.155936002731323
81,-0.442973763283319,0.628010392684114,-1.56995671759797,-0.230939490193921,-3.94089789862049,0.0165216898894557,0.1633141040802
82,-0.443578333609613,0.62365358326044,-1.57001334885372,-0.230934316751771,-3.94092999069211,0.0161262912053306,0.357093095779419
83,-0.444780327644868,0.616844893889191,-1.56991669537129,-0.230752254977098,-3.93920853166181,0.016337544993017,0.140101909637451
84,-0.446890004034679,0.610651753931513,-1.57018799851292,-0.230732873453257,-3.94189066315403,0.0167784653735429,0.141212940216064
85,-0.448401492868119,0.599917118259697,-1.57021721561986,-0.230714605499085,-3.94166993749596,0.0167089685350767,0.168540954589844
86,-0.450391544213615,0.58994512277287,-1.57024328106098,-0.230797767403304,-3.94205894766592,0.0160187844389445,0.172882795333862
87,-0.450769775537278,0.590675118680295,-1.57007704589101,-0.230793956953215,-3.94025942983588,0.015340313906013,0.176958084106445
88,-0.450523764663219,0.592732940099613,-1.57000890957151,-0.230924913347369,-3.93881355702312,0.0162487852302006,0.1737380027771
89,-0.452435388994622,0.588114149374574,-1.56990812324044,-0.231002599827409,-3.93780651160764,0.0152722746405036,0.168678998947144
90,-0.451716443213669,0.588371919157401,-1.56985245684552,-0.230781161986417,-3.93754281681218,0.0168341251861848,0.175545930862427
91,-0.452634591698386,0.588211643088335,-1.5699226696876,-0.230674142375964,-3.93809462702917,0.0182659546162342,0.185704946517944
92,-0.452670956087034,0.588376375889298,-1.56979120423186,-0.230634004530962,-3.9369951955256,0.018897398997204,0.184968948364258
93,-0.452629239248965,0.582624922948492,-1.56983084970819,-0.230277955227698,-3.93734007350649,0.0180890075414302,0.187026023864746
94,-0.452452025164513,0.587761015019284,-1.56990571030421,-0.230492944603871,-3.9375384787937,0.016540995229544,0.176805019378662
95,-0.451212863746706,0.59098675408226,-1.56980210027312,-0.229749594209045,-3.93696292952364,0.0176677774025362,0.345571041107178
96,-0.449881430001602,0.592711548223963,-1.56976314137884,-0.229873827238732,-3.93707827337828,0.0170603306826402,0.180294990539551
97,-0.4493480765758,0.595175511133416,-1.56985439747859,-0.229724257079843,-3.93806628247743,0.0160549562620355,0.221370935440063
98,-0.44937063310917,0.592766722672701,-1.56987970839449,-0.229747996130962,-3.93923255622793,0.0165095439927481,0.173008918762207
99,-0.447614702239717,0.59899233922449,-1.56985921222415,-0.229635330972125,-3.93887446652421,0.016700667626189,0.176045894622803
100,-0.446823141839452,0.604233763357915,-1.56974759983528,-0.229284115644971,-3.93807381008231,0.0172492746234795,0.184988021850586
