"B","psi1","psi2","psi3","psi4","psi5","psi6","Time"
56,-14.5396857042909,-83.9283209343102,-10.3605721614742,-13.9548537150782,-34.0137924008881,-96.6053460007398,0.116307020187378
57,-14.5396857042909,-83.7685542942174,-10.3605721614742,-13.9548537150782,-33.9886001120157,-96.4052466178079,0.110892057418823
58,-14.5396857042909,-83.7436386109019,-10.3605721614742,-13.9548537150782,-33.9234982428283,-96.4663777288066,0.0980679988861084
59,-14.5396857042909,-83.7524945759706,-10.3605721614742,-13.9548537150782,-33.9160288085492,-96.4004696497314,0.0902450084686279
60,-14.5396857042909,-83.8429277597401,-10.3605721614742,-13.9548537150782,-33.8956071480942,-96.4824793839094,0.11657190322876
61,-14.5396857042909,-84.0168596233502,-10.3605721614742,-13.9548537150782,-33.9300826497481,-96.7112962594468,0.242652893066406
62,-14.5396857042909,-83.9437809757854,-10.3605721614742,-13.9548537150782,-33.944891967938,-96.6255452595925,0.147610902786255
63,-14.5396857042909,-83.7864754429371,-10.3605721614742,-13.9548537150782,-33.9202806189022,-96.4526443589308,0.161091089248657
64,-14.5396857042909,-83.6542111566175,-10.3605721614742,-13.9548537150782,-33.8908082504741,-96.2501122175053,0.115751981735229
65,-14.5396857042909,-83.7297399453808,-10.3605721614742,-13.9548537150782,-33.9088036407207,-96.3386436892661,0.0979101657867432
66,-14.5396857042909,-83.7377870186156,-10.3605721614742,-13.9548537150782,-33.9339292331981,-96.3368727830542,0.22526216506958
67,-14.5396857042909,-83.7529471758877,-10.3605721614742,-13.9548537150782,-33.9890809540824,-96.4698274475494,0.0988750457763672
68,-14.5396857042909,-83.8582351318309,-10.3605721614742,-13.9548537150782,-33.9663048818101,-96.7174174147456,0.120975971221924
69,-14.5396857042909,-83.8449125989189,-10.3605721614742,-13.9548537150782,-33.9460731924148,-96.6345670528407,0.159367084503174
70,-14.5396857042909,-83.6910038531554,-10.3605721614742,-13.9548537150782,-33.9118294418379,-96.3150839598079,0.116340160369873
