"n","rel","B","seed","a1","a2","a3","a4","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.CG.1","est.CG.2","est.CG.3","est.CG.4","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4"
8000,0.777777777777778,80,9000001,-1,0,1,2,0.811818602363184,0.553205098905776,0.709732353867106,-0.233919436166652,1.37807293804148,0.475830811295232,0.770566397013403,-1.28217713469682,0.0249618463129073,0.00625896861044562,0.00744043102384251,0.0483301069054711,0.11006223744292,0.0155720431938514,0.0165922916961985,0.147570282939668,0.0255785252340949,0.00659550112160556,0.00781121292822378,0.0494196858869938,0.120853185152354,0.0183767716491764,0.0192665799014603,0.162246295668437
800,0.833333333333333,80,9000001,-1,0,1,2,0.882810467783635,0.552429282807852,0.714310806569413,-0.403566757274727,1.63570149631184,0.456291725774243,0.792363613669389,-1.71403427049802,0.0674194997193388,0.016026500053672,0.0165392771070328,0.109045605974406,0.223877770934238,0.0308006556664522,0.0322345307824154,0.356421971432996,0.0697561128633073,0.0167153562521772,0.0171406853378905,0.116101677527725,0.374408562528206,0.0589762253091637,0.0543776576490428,0.572743229957002
8000,0.833333333333333,80,9000001,-1,0,1,2,0.902133271458097,0.539712509279756,0.720492388555593,-0.40977135294908,1.34478079538292,0.48334532239429,0.763753667482103,-1.19650465418471,0.0270232028357414,0.00600110971103733,0.00683153013792404,0.0466526115649359,0.0779424726329798,0.0108995595984016,0.0117056846414155,0.102913100305405,0.0278425971287258,0.00633935810619601,0.00719315215309437,0.0479161874188994,0.0838085317872403,0.0124591617810952,0.0131788716405912,0.110835604908246
800,0.888888888888889,80,9000001,-1,0,1,2,1.00690990614464,0.536946794170447,0.728767292014509,-0.622133537588384,1.49409659586373,0.4804015133672,0.774857039980637,-1.43526002152501,0.0752300120365948,0.0161695516690374,0.01650352807398,0.115503443478722,0.143293354547523,0.0211983874899972,0.0224956771153389,0.224452916448242,0.0809795374401949,0.0175354989378393,0.0177510421601976,0.127740067230538,0.200028896160352,0.0315890318709468,0.0303675614386376,0.305850098921597
8000,0.888888888888889,80,9000001,-1,0,1,2,1.00863426898971,0.525940856477946,0.730912348859279,-0.600942666073646,1.31522754147318,0.489294595617535,0.758444538142127,-1.12691395152723,0.0277174127454923,0.00559891686517945,0.00612413414866415,0.0418259403343506,0.0540403194746459,0.00777358308356145,0.00834871023296035,0.0698235911387094,0.028598664626346,0.00588788196499385,0.00642745475367619,0.043110284353058,0.0569703054013942,0.00855369796476123,0.00907952729673381,0.0738646190397941
800,0.944444444444444,80,9000001,-1,0,1,2,1.16281835720306,0.521067765139483,0.744329481264149,-0.860541438006156,1.40675742959057,0.495647470074573,0.765354035342223,-1.24708767155637,0.0743078632731952,0.0157698712820069,0.0159404416080526,0.103979757507818,0.0934272620307274,0.0167582897725797,0.0174040053735045,0.132446954894971,0.0849382564023907,0.0175771169413513,0.0177241510950853,0.121060157257211,0.114855967248608,0.020130123506192,0.0201162553490903,0.163532033180828
8000,0.944444444444444,80,9000001,-1,0,1,2,1.12770746266283,0.512386805345871,0.740737180060655,-0.803665818953865,1.28524571042049,0.494551529644478,0.753879979983316,-1.06678099368234,0.0256988192771272,0.00508236568436172,0.00535366725308508,0.0329630431065262,0.0348152927979895,0.00569901392388165,0.00601535200188325,0.0427367307893969,0.026367919087735,0.00525368441144215,0.00553155405207343,0.0339727706877181,0.0359646927337279,0.00598157049113472,0.00627914000056132,0.0444514650177455
800,1,80,9000001,-1,0,1,2,1.33063616226801,0.511911277342084,0.757261666076804,-1.03448821947329,1.33063616226801,0.511911277342084,0.757261666076804,-1.03448821947329,0.0458101768133158,0.0146107501908573,0.0141484578158808,0.0475914746842588,0.0458101768133111,0.014610750190857,0.0141484578158815,0.0475914746842555,0.0544060973206989,0.0154304049754895,0.0148465310679949,0.0588978127588949,0.0544060973206962,0.015430404975489,0.0148465310679953,0.0588978127588884
8000,1,80,9000001,-1,0,1,2,1.23268721237055,0.501994704069016,0.74803798121962,-0.997598933597384,1.23268721237055,0.501994704069016,0.74803798121962,-0.997598933597384,0.0126928186305191,0.0043406948508466,0.00439353697847246,0.0118732290062945,0.0126928186305198,0.00434069485084654,0.0043935369784724,0.0118732290062943,0.0127939038212223,0.00435192532924557,0.00440660706089592,0.0120667175234936,0.012793903821223,0.0043519253292455,0.00440660706089585,0.0120667175234934
800,0.5,80,9000002,-1,0,1,2,0.609925829911104,0.617314024878779,0.651835503429144,0.438461293101824,0.81395650546189,0.600684328213553,0.634085691870969,0.0643984064854896,0.0320214793615251,0.0157380274738799,0.0163006230404,0.0447821354055499,0.279741662836959,0.0599609428604994,0.0588869459475473,0.301823387962783,0.0321979989559085,0.0191591850223132,0.0195254894929393,0.0446212078279811,1.31365593915216,0.261696072425626,0.249167292951166,0.172172321154577
