"n","vare","B","n.supp","k","seed","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,5,2,7000037,0.421583026221183,0.345789724229957,0.0885826653559342,0.108518986953695,0.0343924039387253,0.085971026248519,0.13166577996819,0.0789159118049253,0.0351064147094661,0.0882774672541971,0.136249586180739,0.0794579709444258
800,0.05,80,5,6,7000037,0.390153039410538,0.457146340087462,0.0459833270454191,0.10578464805866,0.0337104152647973,0.117097044795508,0.107597356894953,0.0793919904419461,0.0343726517018315,0.119527527890895,0.110348298366417,0.0798568900923976
800,0.05,80,5,10,7000037,0.4092262813928,0.523082080601962,0.171957066808225,0.0933660081485707,0.031771880142486,0.170987542553542,0.194307825017438,0.0892428787627621,0.0324427823625617,0.179426646728434,0.207352406823764,0.0902195043056733
800,0.05,80,5,14,7000037,0.402582732774106,0.618390758977808,0.188583017250499,0.0867234082538259,0.0348304126590604,0.260163644018836,0.306874297568907,0.0908769768338264,0.0358040580292741,0.270377255812994,0.328432346970791,0.091819418318429
800,0.05,80,5,18,7000037,0.405964119167665,0.478844011226371,0.124235590615907,0.0810965061009163,0.0422943031713312,0.140654884948784,0.183625977372727,0.0913348500638586,0.0436986524007886,0.145006927423767,0.193594056393757,0.0922473878020442
800,0.05,80,5,2,7000038,0.519645128923035,0.191958340052653,0.255897706606591,0.150788939347655,0.0554779061286351,0.106242412254641,0.180817931658183,0.0786906634557149,0.0563207722787827,0.108683311081493,0.183980148088726,0.0792108522282047
800,0.05,80,5,6,7000038,0.456099424390492,0.257682423689147,0.109606256522823,0.166428187270673,0.0426935195670556,0.135757023960815,0.097276239811989,0.073723609968424,0.0433869671012322,0.139418011971555,0.0982989906395819,0.0741893278691243
800,0.05,80,5,10,7000038,0.468902184660558,0.245138669037171,0.155089103720152,0.173394817829615,0.0385840294924285,0.111547239164402,0.095662315263261,0.0716669290020074,0.0391099383322083,0.114361564853097,0.0965163316206072,0.0720633197204518
800,0.05,80,5,14,7000038,0.462877586816727,0.143450806732106,0.0708042776898724,0.157433268781392,0.0403588445839579,0.111820894227914,0.0887285394412228,0.0717728052836963,0.0407587630967556,0.113594528885697,0.089744428657902,0.0721578786352264
800,0.05,80,5,18,7000038,0.465055164111914,0.253559645635602,0.155246071661633,0.176730892769927,0.0356338233218248,0.105366700060702,0.0859624883102664,0.0706063714605299,0.0360419282798816,0.107873250199995,0.0865985888422309,0.0709769648453279
