"n","B","vare","seed","ps","out","method","type","est","se"
2000,30,0.16,1000004,1,0,"gfmla","mccs",0.765807648137916,0.0161203049788263
2000,30,0.16,1000004,1,0,"ipw","naive",0.641571945135994,0.0202124332142812
2000,30,0.16,1000004,1,0,"ipw","oracle",0.708199818177024,0.0207758448609181
2000,30,0.16,1000004,1,0,"ipw","mccs",0.725093225205494,0.0241479848171594
2000,30,0.16,1000004,1,0,"dr","naive",0.670351105599279,0.0147854306053755
2000,30,0.16,1000004,1,0,"dr","oracle",0.770256217847755,0.0152466231825279
2000,30,0.16,1000004,1,0,"dr","mccs",0.773584818629927,0.0174111477760733
2000,30,0.16,1000004,0,1,"gfmla","naive",0.621213024268102,0.0161568868949542
2000,30,0.16,1000004,0,1,"gfmla","oracle",0.685042673044151,0.0168046159761722
2000,30,0.16,1000004,0,1,"gfmla","mccs",0.699370500654303,0.0183737948190123
2000,30,0.16,1000004,0,1,"ipw","naive",0.727051499033507,0.0533082562157374
2000,30,0.16,1000004,0,1,"ipw","oracle",0.825554586001003,0.0697999284348345
2000,30,0.16,1000004,0,1,"ipw","mccs",0.848316477017072,0.0729952251590198
2000,30,0.16,1000004,0,1,"dr","naive",0.682166168356712,0.0259443749357009
2000,30,0.16,1000004,0,1,"dr","oracle",0.760810423245392,0.0301715601219195
2000,30,0.16,1000004,0,1,"dr","mccs",0.790409387345111,0.0323096177780133
2000,30,0.16,1000004,1,1,"gfmla","naive",0.621213024268102,0.0161568868949542
2000,30,0.16,1000004,1,1,"gfmla","oracle",0.685042673044151,0.0168046159761722
2000,30,0.16,1000004,1,1,"gfmla","mccs",0.699370500654303,0.0183737948190123
2000,30,0.16,1000004,1,1,"ipw","naive",0.641571945135994,0.0202124332142812
2000,30,0.16,1000004,1,1,"ipw","oracle",0.708199818177024,0.0207758448609181
2000,30,0.16,1000004,1,1,"ipw","mccs",0.725093225205494,0.0241479848171594
2000,30,0.16,1000004,1,1,"dr","naive",0.628954216535056,0.0178373443844915
2000,30,0.16,1000004,1,1,"dr","oracle",0.69073622957738,0.018808013504491
2000,30,0.16,1000004,1,1,"dr","mccs",0.71062818413883,0.0214164450462975
