"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.OI.1","stde.OI.2","stde.OI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.OI.1","bste.OI.2","bste.OI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,0.2,80,6,-0.0448820465830909,0.99850553032439,0.876864542448535,-0.0702957314353091,0.914351153619285,0.724381380540912,-0.068534668100188,1.08925892732404,0.848790125155015,0.111812676049986,0.0435027006531449,0.0367285548457647,0.0977538218943718,0.0467924594046971,0.0485896366816616,0.0882997309059256,0.0514535775079742,0.0653950282414343,0.11506172379242,0.0472819522315281,0.0390459877475643,0.0992104257607564,0.0478701684458126,0.0518810816486219,0.0893709844048228,0.0523228344732623,0.0726260467700284
8000,0.2,80,6,-0.0648372355038772,1.05062094638449,0.945447095884479,0.0563815495574358,0.904352280560383,0.757410760732922,0.00520475501583934,1.05338646822439,0.943774407296072,0.0622543440803259,0.0499676054945524,0.06098577827485,0.0759630587876089,0.0252615585530053,0.0451123270285631,0.072535195115092,0.0268889145811498,0.0724743218809893,0.0629323860311452,0.0526508475963684,0.0621989921437901,0.0782507395351388,0.0272143351017722,0.046709945386408,0.0715195510381255,0.0490149704574074,0.066553796434618
800,0.2,80,7,-0.0935478373974782,0.978505720064881,0.91242457972921,-0.0886601732213555,0.907521048260695,0.807969965560736,-0.124742020127415,1.12337852098229,0.980667588460519,0.0583384063642271,0.0387944686022327,0.0445995546285009,0.0914342631334783,0.0554207262675038,0.0660043196225448,0.10119922247877,0.0756116686686488,0.078814220347418,0.0593182313203342,0.0391740805829621,0.0453653818587854,0.0924880895143497,0.0563861761095993,0.069199686974257,0.102588790766799,0.0770448775578858,0.0818508805645098
8000,0.2,80,7,-0.0946903538147685,1.03553256025667,1.04613318250006,0.0210587486382839,0.883290966956656,0.831451276499661,0.0402305676195938,1.09858318277778,1.03564240746785,0.0660829431771548,0.064536983146872,0.0588710753448259,0.0456207863708317,0.036113606474633,0.0608559836021456,0.0506182509244142,0.0510071090342611,0.0760590170832736,0.0659409942945186,0.0798420082666536,0.0637007094330671,0.0456400541835868,0.0375606965981045,0.0637894314614719,0.0506118903813135,0.0532253703100961,0.0808802991567008
800,0.2,80,8,0.185855985845902,0.944866565416233,0.704577243570057,0.084134389401836,0.826314948198587,0.665509603230133,0.111641129671145,0.992299806499737,0.782874986751662,0.0690476758663891,0.0402485549869,0.031199993702499,0.0803446218344441,0.0657445144062631,0.0489170791005359,0.088229087150548,0.0837937109617043,0.0665483115727136,0.0737937019429326,0.0404064112101864,0.0326807177955689,0.0809793072246999,0.067412369798918,0.0496666322032146,0.0889956569891757,0.086732359320738,0.0681843129161248
8000,0.2,80,8,0.046274282092959,1.1475723175437,1.0362769586084,-0.111298529148285,0.881541182666191,0.8301931720295,-0.163087756799002,1.07933301115564,1.02523431385619,0.04901528912714,0.0414326673609657,0.0415350170885069,0.0967555483683415,0.0573326748586678,0.0594338215374221,0.116817036632904,0.0662412349180452,0.113882566382655,0.0508490894634963,0.0432334318260059,0.0427320116085814,0.0993601010206324,0.0603371776093896,0.0607840666063587,0.120449456197592,0.0691245936581919,0.118239027994531
800,0.2,80,9,0.00350981026980425,1.13270203547172,1.00752222119357,0.0523722701564356,0.943125323087103,0.850209987524316,0.0578677381346844,1.19234470157568,1.05719309673318,0.0550880547670877,0.0456006211139659,0.0369824012523775,0.0764920548828586,0.0499568757613505,0.0580060298716241,0.078115240511931,0.0611144413198008,0.063844171908839,0.0554879987774982,0.0463014880667203,0.0374873589484963,0.077056200852776,0.0506112770213934,0.0592563318022146,0.0787490405499851,0.0617082545753378,0.0646768481441387
8000,0.2,80,9,0.211411394901948,1.29807914000732,0.760677218042225,0.130123664510285,1.06335072035292,0.704463588149971,0.0871294115739183,1.4694014186711,0.982902305131462,0.0625536353053679,0.0463186778805481,0.0501903966247537,0.0747655517101241,0.0888490555668636,0.0771538717703405,0.0849621007152742,0.257773085581996,0.17366805383723,0.0764037255432802,0.123130875768404,0.0806607317993034,0.0611638488837639,0.167549074337476,0.0857917292474685,0.125487854809407,0.438918082887856,0.317547145242749
800,0.2,80,10,-0.195496769848489,1.00722718785709,0.970473970609321,-0.153839282870386,0.792415950984308,0.824831710655452,-0.12746523564164,0.96554089071435,0.992427712489192,0.118302092983012,0.069631013425341,0.07807789862147,0.100595093591681,0.0676254506525107,0.0595727799524386,0.106733337720212,0.0936397683922987,0.071474685376624,0.125292839759636,0.0709696608567977,0.082630024519642,0.104520859852348,0.0712578326965724,0.0615398050615332,0.109418602294279,0.102208873049818,0.0756559807776403
8000,0.2,80,10,0.0359848018000907,1.07510561593008,0.922800857423947,0.111541795908237,0.908634549584429,0.825202012131919,0.217355583659381,1.04836664568334,1.00719449313476,0.0341895375231099,0.0265969742657883,0.0184629797279854,0.111305247052982,0.11018069783824,0.0415892219933725,0.165906250084123,0.117184038088926,0.0819926468252028,0.0343737678019877,0.0269237661645809,0.0186039101288682,0.113480937316735,0.12688790120286,0.0476293176409168,0.173918818964303,0.136052842352799,0.0811009135903924
