"n","vare","B","seed","a1","est.OG.1","est.NG.1","est.CG.1","ste.OG.1","ste.NG.1","ste.CG.1","bcs.OG.1","bcs.NG.1","bcs.CG.1"
800,0.01,80,9000003,3,0.309286556889429,0.308821043444692,0.309848228744161,0.0264273262226028,0.0261990128606567,0.0265159339702528,0.0268245841808172,0.0265694445659511,0.0269013169812049
8000,0.01,80,9000003,3,0.337972098067496,0.3367081075135,0.338366651475099,0.00864596980546981,0.00862758002954499,0.00873040744092233,0.00865976389182908,0.00864124937943106,0.0087444778488603
800,0.12,80,9000003,3,0.309286556889429,0.300470195644644,0.31098457176604,0.0264273262226028,0.024789612438968,0.0284104976906543,0.0268245841808172,0.0250624587608166,0.028835400331051
8000,0.12,80,9000003,3,0.337972098067496,0.322481448047381,0.339615572357129,0.00864596980546981,0.0081851586169451,0.00940700067947617,0.00865976389182908,0.0081965997101327,0.00942339300382979
800,0.23,80,9000003,3,0.309286556889429,0.294039680123254,0.311507049523333,0.0264273262226028,0.0237999883498613,0.0305117663048178,0.0268245841808172,0.024020983343848,0.0310079745035273
8000,0.23,80,9000003,3,0.337972098067496,0.311760503457502,0.340534673964023,0.00864596980546981,0.00779082789831115,0.0100849892638231,0.00865976389182908,0.00780038452219074,0.0101044045906897
800,0.34,80,9000003,3,0.309286556889429,0.289106183580374,0.311889600594305,0.0264273262226028,0.0230239806877784,0.0327139215987469,0.0268245841808172,0.0232095942136917,0.0333042499183523
8000,0.34,80,9000003,3,0.337972098067496,0.303533486522451,0.341396488698821,0.00864596980546981,0.0074644484056545,0.0107935219302961,0.00865976389182908,0.00747251033746787,0.0108175987619039
800,0.45,80,9000003,3,0.309286556889429,0.285215197978426,0.312201521805555,0.0264273262226028,0.0223908755681133,0.035002706702317,0.0268245841808172,0.0225503574175523,0.0357153258644834
8000,0.45,80,9000003,3,0.337972098067496,0.297046393900743,0.342178875731896,0.00864596980546981,0.00719561359767028,0.0114521459574752,0.00865976389182908,0.0072024945455184,0.011481984345503
800,0.56,80,9000003,3,0.309286556889429,0.282070871871965,0.312465260062682,0.0264273262226028,0.0218616981097878,0.0373765174447633,0.0268245841808172,0.0220010606323847,0.0382484916821152
8000,0.56,80,9000003,3,0.337972098067496,0.291809831292867,0.342200483458817,0.00864596980546981,0.00697255136276327,0.010569567402306,0.00865976389182908,0.00697849156327636,0.0105838990674628
800,0.67,80,9000003,3,0.309286556889429,0.279477877134392,0.312688355249515,0.0264273262226028,0.0214115920962304,0.0398372250900796,0.0268245841808172,0.0215350419112075,0.0409185103443258
8000,0.67,80,9000003,3,0.337972098067496,0.287498465108384,0.349778261696297,0.00864596980546981,0.00678548577903613,0.00900850871623785,0.00865976389182908,0.0067906676850716,0.0132239022352426
800,0.78,80,9000003,3,0.309286556889429,0.277303037684892,0.312872003448806,0.0264273262226028,0.021023459824986,0.0423880114604002,0.0268245841808172,0.0211340681480951,0.0437478977497924
