"n","vare","B","n.supp","k","seed","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
8000,0.05,80,5,10,7,0.471904645741163,0.148027595736322,0.196798647870399,0.136359336965077,0.0115013672173542,0.0276612463566741,0.0301981907819225,0.022779951706805,0.0115182942241499,0.0277867377983712,0.0302431281822967,0.0228020950093263
800,0.05,80,5,14,7,0.452886928203359,0.137072437980706,0.172595459549901,0.343505235941215,0.0402644112125773,0.086241227631415,0.0899008096340201,0.072313759533058,0.0407465372149209,0.0871956241682484,0.0912876796974321,0.0727345624070159
8000,0.05,80,5,14,7,0.459350651396035,0.182937417009071,0.170249046786736,0.134780377461348,0.0115437388398663,0.0330186081493127,0.0268690104846186,0.0232514349083048,0.0115690528707787,0.0332641695486426,0.0269099029292094,0.023274992364191
800,0.05,80,5,18,7,0.444470774987451,0.167052011837531,0.191953554561382,0.364626087292569,0.0466634777892286,0.10179150169353,0.107964271198537,0.0769428419012722,0.0473721084181885,0.103069902828905,0.109567915007991,0.0775476043361059
8000,0.05,80,5,18,7,0.473411113997779,0.166665196920978,0.222708344356185,0.139167985030354,0.0120524123012213,0.0309132239835667,0.0323247733464939,0.0242837290379973,0.0120728400400025,0.0311029629330415,0.0323787122297084,0.0243254400862036
800,0.05,80,5,2,8,0.452593354574674,0.0186749747785623,-0.125976037149767,0.242566754104447,0.0820316998186088,0.144232931845286,0.427223459113148,0.120488811928712,0.101136711887724,0.178580111383965,0.547524755508194,0.137473732056711
8000,0.05,80,5,2,8,0.44002518052193,0.255816575689277,0.0660068453808538,0.116995867000351,0.0110145316349465,0.0296022933941444,0.0210991925226862,0.0231115626934506,0.0110256337932333,0.0296544644770752,0.0211167949949417,0.0231298977652987
800,0.05,80,5,6,8,0.469281330867862,0.156388588065321,0.0914100080055772,0.205295135144883,0.0386395440115577,0.0956503971667217,0.0904670554968128,0.0705128650784103,0.039088744400338,0.0972271753318209,0.0918308491473869,0.0708349663330061
8000,0.05,80,5,6,8,0.460266905792697,0.295874548090205,0.208240043455968,0.124234484548517,0.015824877502177,0.0433473248564914,0.048238386419671,0.0329187364285187,0.01588313018385,0.0434498257384646,0.0485270321914376,0.0330498051757664
800,0.05,80,5,10,8,0.478493551188398,0.148585057099231,0.114126807496387,0.200782296541741,0.04434929074517,0.0963780336463781,0.163613552112475,0.0736625822501106,0.0451635865187151,0.0976579101534276,0.16921131018784,0.0740417580151474
8000,0.05,80,5,10,8,0.454291781014444,0.25420725719211,0.148917588155922,0.12164705077747,0.0163062800691839,0.0349882000170328,0.0469404638311292,0.0281641132852083,0.0163501551129759,0.0350646264627563,0.0470770194837087,0.0282211306544673
800,0.05,80,5,14,8,0.481077648624739,0.159341075484345,0.150036402641735,0.207683917882595,0.0484168171100787,0.127279322765319,0.19872276604518,0.0780751213984601,0.0496538868723754,0.130398455176089,0.209889634284675,0.0784203570086167
8000,0.05,80,5,14,8,0.436717715438802,0.325525982692722,0.118205957885887,0.124463297725931,0.0155052150360846,0.0428582357358719,0.0382724426213624,0.0282180460951142,0.0155433272524461,0.0429853864500529,0.0383670412247875,0.0282649183638318
800,0.05,80,5,18,8,0.475999149525918,0.143708308759231,0.104688583016979,0.202428761698715,0.0412578305143647,0.0911006314797438,0.139708582312066,0.0717913032880187,0.0418586621294795,0.0923576102012128,0.1437990543655,0.0721113425275078
8000,0.05,80,5,18,8,0.457833708091495,0.2446351621569,0.154549167929827,0.123990199818077,0.0143124949149054,0.033105531112859,0.0401145312126065,0.0278402612694623,0.0143463707487573,0.0331666640316317,0.0402344256067122,0.0279015113221787
800,0.05,80,5,2,9,0.426060962508365,0.253194739472025,0.0141315441981555,0.241260843795884,0.0404219216389154,0.108280672438133,0.0798833525780194,0.0743297978222571,0.0409072864656892,0.109202558077496,0.0819712337229199,0.0748798297442586
