"n","rel","n.supp","k","B","seed","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,0.5,100,5,80,9000002,-0.0271714307233543,0.459305434430467,0.484476914063915,-0.073999953164156,0.940424287098857,0.752026472924462,0.0529884083115628,0.0362329733300883,0.0474399373803423,0.0856194597878461,0.572692099315397,0.593180221766377,0.0530403481677086,0.0363982793708209,0.0479471672868357,0.0853643903210731,0.571772809638127,0.59251239797733
800,0.555555555555556,100,5,80,9000002,-0.0240756264966255,0.512883372149556,0.540641664470242,-0.0584607532039083,0.935442582779318,0.823830536158489,0.0514174801793397,0.036660565254285,0.04766183313826,0.0682857635987064,0.345653002990736,0.4316941511233,0.0514348076924606,0.0367646091268408,0.0481445273171784,0.0681514779999151,0.345065885444465,0.431339054561403
800,0.611111111111111,100,5,80,9000002,-0.0218639631239305,0.568126938860258,0.59708823618947,-0.0468191505734751,0.933635792086149,0.875386456105854,0.0497934395660865,0.0369181195297398,0.0475294379284677,0.0597399028281368,0.212784338292161,0.297444343186611,0.0497912000396242,0.0370089090500634,0.0479807462100468,0.0596917663507646,0.212447471853643,0.297312799303031
800,0.666666666666667,100,5,80,9000002,-0.0204801394826519,0.624526984383012,0.653978831928491,-0.0380054603090821,0.935055291852362,0.913110019890633,0.0481209460302986,0.0372099815554506,0.0469651225581497,0.0544186410192338,0.133808717115188,0.196788697523383,0.048119719916152,0.0373235613509059,0.0473805350846629,0.0544202902427211,0.133673583373204,0.196828676769118
800,0.722222222222222,100,5,80,9000002,-0.0195816220551977,0.681248671324959,0.711273552433045,-0.0312290085676857,0.938674568671403,0.941118112906014,0.0464166333953814,0.0376376000308355,0.0459430778845053,0.0504694801441084,0.087730729773672,0.127057838066901,0.0464291435994315,0.0377758633094689,0.0463168158775576,0.0504956885149977,0.0877650557886519,0.127239721098201
800,0.777777777777778,100,5,80,9000002,-0.0186160616379941,0.73750656456342,0.768702826896113,-0.0257446410555376,0.943267729791598,0.96172655595099,0.0447220756533191,0.0380879520319916,0.0445162556942724,0.0472453500024583,0.0625809241227937,0.0827263045784886,0.0447488953284705,0.0382330138337329,0.0448378690851051,0.0472822206516355,0.0627304130539409,0.0830093849378353
800,0.833333333333333,100,5,80,9000002,-0.0169429741114044,0.792994170421767,0.825825457261223,-0.0208022719620989,0.947991876412786,0.976207793120887,0.0430754319386416,0.0382784613667585,0.0427828431862975,0.0444983474331418,0.0500972367401002,0.05786182196496,0.0431107429759239,0.0384139541754132,0.0430400940765524,0.0445390476260629,0.0502806445828672,0.0581649378612947
800,0.888888888888889,100,5,80,9000002,-0.0138988909636162,0.848198088634751,0.882102569705733,-0.0156045833629391,0.952642926259175,0.985331578096663,0.041479707763189,0.037981302739548,0.0408208331018204,0.0421310591365218,0.0438008793101741,0.0459158153097889,0.0415183825421804,0.0380983038027816,0.0410071654143814,0.0421727776814485,0.0439566790842991,0.0461485519016797
800,0.944444444444444,100,5,80,9000002,-0.0085319714717973,0.904609318768295,0.936741543598652,-0.00900296259427369,0.95780182374392,0.989419522810605,0.0399295435888964,0.0371907846247139,0.0386940951070593,0.0401121708304984,0.0395897595147638,0.0401918098273208,0.0399694191189075,0.0372878257221389,0.038816185286387,0.0401539049805952,0.0397024950635063,0.040330992554254
800,1,100,5,80,9000002,0.00790523909224035,0.968715908997892,0.983107001215704,0.0079024877224055,0.968743565141217,0.983051815464839,0.0387173846670246,0.037391993535639,0.036636349548093,0.0387044453061482,0.0371232399404525,0.0364862954733745,0.0387526593320855,0.0375005541236311,0.0367253854902664,0.0387397944539123,0.0372324834220792,0.0365757282123094
