"n","vare","B","seed","a1","est.OG.1","est.NG.1","est.CG.1","ste.OG.1","ste.NG.1","ste.CG.1","bcs.OG.1","bcs.NG.1","bcs.CG.1"
800,0.53,80,9000003,3,0.309286556889429,0.282866892076087,0.312397523519803,0.0264273262226028,0.0219973066819874,0.0367206055470484,0.0268245841808172,0.0221416789519765,0.0375447966096609
8000,0.53,80,9000003,3,0.337972098067496,0.293134792065169,0.342374163922106,0.00864596980546981,0.00702944780266284,0.0110310972552643,0.00865976389182908,0.00703562433662416,0.0110524786937497
800,0.421590909090909,80,9000003,3,0.309286556889429,0.286138851067737,0.312126110634219,0.0264273262226028,0.0225431857750202,0.0344034794334312,0.0268245841808172,0.0227087452379313,0.0350813812243265
8000,0.421590909090909,80,9000003,3,0.337972098067496,0.298585844137386,0.341995409094055,0.00864596980546981,0.00726021432808544,0.0113163469494643,0.00865976389182908,0.00726737457833099,0.0113450896844612
800,0.33125,80,9000003,3,0.309286556889429,0.289455644763889,0.311862223410232,0.0264273262226028,0.023079820974326,0.0325355130542694,0.0268245841808172,0.0232678517822105,0.033117418047198
8000,0.33125,80,9000003,3,0.337972098067496,0.304116276814129,0.341329513127104,0.00864596980546981,0.00748814072943754,0.0107359781906141,0.00865976389182908,0.00749630901342851,0.0107595986118352
800,0.254807692307692,80,9000003,3,0.309286556889429,0.292815606577796,0.31160172225057,0.0264273262226028,0.0236096413574195,0.0310004734148667,0.0268245841808172,0.0238215845100181,0.0315157907289184
8000,0.254807692307692,80,9000003,3,0.337972098067496,0.309719518629334,0.340732637858972,0.00864596980546981,0.00771156610464211,0.0102418055310724,0.00865976389182908,0.00772075404692984,0.0102620873192644
800,0.189285714285714,80,9000003,3,0.309286556889429,0.296214872994766,0.311336968537463,0.0264273262226028,0.0241357777203294,0.0297206093781876,0.0268245841808172,0.0243734033631811,0.0301879022571904
8000,0.189285714285714,80,9000003,3,0.337972098067496,0.315386712320247,0.340204194473383,0.00864596980546981,0.0079285581087625,0.00983105463205956,0.00865976389182908,0.00793876358981347,0.00984921991676516
800,0.1325,80,9000003,3,0.309286556889429,0.299645258731716,0.311056197592051,0.0264273262226028,0.0246626007558358,0.0286429432444787,0.0268245841808172,0.0249282728152763,0.0290748434325493
8000,0.1325,80,9000003,3,0.337972098067496,0.321105418395635,0.339725404195186,0.00864596980546981,0.00813684134034189,0.00948290614634363,0.00865976389182908,0.0081480471557806,0.00949959300637127
800,0.0828125,80,9000003,3,0.309286556889429,0.303088300783988,0.310738557875493,0.0264273262226028,0.0251969486428634,0.0277320624853587,0.0268245841808172,0.0254940996537538,0.0281380763496965
8000,0.0828125,80,9000003,3,0.337972098067496,0.326856092821796,0.339272348969191,0.00864596980546981,0.00833355152483513,0.00918200238335952,0.00865976389182908,0.00834572290087627,0.00919756752076027
800,0.0389705882352941,80,9000003,3,0.309286556889429,0.306491742470162,0.310332615144124,0.0264273262226028,0.0257523791993873,0.026969190901436,0.0268245841808172,0.0260867804659463,0.02735811376461
8000,0.0389705882352941,80,9000003,3,0.337972098067496,0.332598058656192,0.33880421214279,0.00864596980546981,0.00851407196469107,0.00891535362712338,0.00865976389182908,0.00852714979464367,0.00893001333548272
800,0,80,9000003,3,0.309286556889429,0.309286556889429,0.309286556889429,0.0264273262226028,0.0264273262226028,0.0264273262226136,0.0268245841808172,0.0268245841808172,0.0268245841808296
8000,0,80,9000003,3,0.337972098067496,0.337972098067496,0.337972098067496,0.00864596980546981,0.00864596980546981,0.00864596980547539,0.00865976389182908,0.00865976389182908,0.0086597638918346
800,0.6625,80,9000004,3,0.3356181670706,0.292050369436143,0.36866236880453,0.0288882902429409,0.0213866597489507,0.0323273104659987,0.0295096932070063,0.0215701407808379,0.0340126882612165
8000,0.6625,80,9000004,3,0.33459653772391,0.284799833531339,0.339533446748486,0.0086728381820655,0.00682933771094729,0.0136963717203827,0.00868558055683474,0.00683413113947326,0.0137287435957524
800,0.53,80,9000004,3,0.3356181670706,0.297236575410292,0.369370811986467,0.0288882902429409,0.0220973139451377,0.0314574208290965,0.0295096932070063,0.0223152656305008,0.0324069573296479
8000,0.53,80,9000004,3,0.33459653772391,0.290040387110869,0.338904393477386,0.0086728381820655,0.00705895255005204,0.0122917323969853,0.00868558055683474,0.00706461160646176,0.0123180873667532
800,0.421590909090909,80,9000004,3,0.3356181670706,0.30246255849461,0.357294727619407,0.0288882902429409,0.0228236331021279,0.0580087630076991,0.0295096932070063,0.0230791181269906,0.0836881424256895
8000,0.421590909090909,80,9000004,3,0.33459653772391,0.295395557786404,0.33852290084734,0.0086728381820655,0.00728883674859937,0.0115354719433306,0.00868558055683474,0.00729540346289751,0.0115584348351581
800,0.33125,80,9000004,3,0.3356181670706,0.307715776967575,0.352207375360919,0.0288882902429409,0.0235692542495291,0.0362357753873067,0.0295096932070063,0.023865719763258,0.0374357354039422
8000,0.33125,80,9000004,3,0.33459653772391,0.300862458939868,0.338140133756372,0.0086728381820655,0.00751785491484577,0.0109405536047519,0.00868558055683474,0.00752536127844815,0.0109610796756111
800,0.254807692307692,80,9000004,3,0.3356181670706,0.312977606223593,0.349156579912762,0.0288882902429409,0.0243382570728333,0.0336299912891635,0.0295096932070063,0.0246796382828485,0.0345465863050805
