"n","vare","B","seed","a1","a2","a3","a4","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.RG.1","est.RG.2","est.RG.3","est.RG.4","est.SG.1","est.SG.2","est.SG.3","est.SG.4","est.CG.1","est.CG.2","est.CG.3","est.CG.4","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.RG.1","ste.RG.2","ste.RG.3","ste.RG.4","ste.SG.1","ste.SG.2","ste.SG.3","ste.SG.4","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.RG.1","bcs.RG.2","bcs.RG.3","bcs.RG.4","bcs.SG.1","bcs.SG.2","bcs.SG.3","bcs.SG.4","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4"
400,0.05,80,4000084,-1,0,1,2,1.36247997252131,0.513641474557994,0.784362638878999,-1.07468881440996,1.05674056868941,0.536599690708103,0.761468117696297,-0.573233658087977,1.74749735395543,0.506093629735998,0.753329801643333,-1.67068912854837,1.26188816005557,0.50869035590362,0.774203483086946,-1.11825212170963,1.45186001992063,0.484513298679124,0.788025151281949,-1.3787908115508,0.0740610485180282,0.0208744327629672,0.0191478842375842,0.0557228061512188,0.085836932111747,0.0220474762153071,0.0218565716152339,0.209956355910184,0.141757181353439,0.0228236876270604,0.0223946955549538,0.254938264470596,NA,NA,NA,NA,0.146197524508611,0.0313926990133801,0.0272679732069897,0.461169828415491,0.0861634525614248,0.0222669357599416,0.0202677304090967,0.0763270785388802,0.139691812246892,0.0322741729427872,0.0309000812384116,0.27453022376747,0.210331432103675,0.028686100710282,0.0251285585170936,0.340592040032002,NA,NA,NA,NA,0.560673316977622,0.102434436091353,0.0804247201483413,0.881334008189038
800,0.05,80,4000084,-1,0,1,2,1.2600570486361,0.535519022692669,0.73914493243495,-0.984938725889762,0.86508531064239,0.576432981428391,0.718245289883991,-0.137786796769175,1.17667280089886,0.561941468029672,0.708645043605884,-0.650410160862161,1.06231391926939,0.551179674156577,0.736195436312385,-0.491281987460047,1.24788628818307,0.53741450627269,0.748387362844899,-0.693993700303481,0.0437559416505216,0.0145108034108574,0.0139561100328852,0.0548288043157047,0.0678682918028793,0.0163214088554738,0.016441182500925,0.090669888517591,0.10783746401545,0.0165596434304813,0.0166056095241165,0.137100176428508,NA,NA,NA,NA,0.145403623001534,0.0219328206868893,0.0221693534922921,0.224224963338688,0.0467645833569228,0.0146979914305566,0.0140789814444498,0.0600611562309694,0.0952542147858255,0.0209604572169828,0.0204280409733182,0.115669822517673,0.174744681190453,0.0221679653451005,0.0210677582305366,0.195208303207321,NA,NA,NA,NA,0.376482684906152,0.0508286129786805,0.0466668855904855,0.398154242863163
8000,0.05,80,4000084,-1,0,1,2,1.25033211732533,0.500500833160313,0.755281942149781,-0.984045549196343,0.944714443757498,0.540203421543257,0.723342819565558,-0.443020505820439,1.35702344091208,0.524149007179603,0.709300027928283,-1.13140649988332,1.20064892649893,0.504197695592759,0.755014257518223,-0.942441111217145,1.32899385400126,0.493694633771745,0.764126231895526,-1.13311224416591,0.0126632174306925,0.00442650885141952,0.00439400759296175,0.0149020313001772,0.0292860825985151,0.00546990148843327,0.00572904441967307,0.0400144527681363,0.0486418516699334,0.00572384137021563,0.00599685640524695,0.0641935715056368,NA,NA,NA,NA,0.0646020350290675,0.00746189894244062,0.00807967038948914,0.0715218122480557,0.0128419947908581,0.00444052203850224,0.00441052693381675,0.0152024811859398,0.0296792891609614,0.00558468798575106,0.00585629336824592,0.0406971629929365,0.0498937969785579,0.00589884691787141,0.00614012999523922,0.0659879989993817,NA,NA,NA,NA,0.0656827707858467,0.0077002835002362,0.00827603072870463,0.0734370872326522
400,0.05,80,4000085,-1,0,1,2,1.24229413482848,0.509220093106937,0.748721577590077,-0.99017858129331,1.00594181196644,0.548235782724942,0.717559031572138,-0.304548428536785,1.3499340314387,0.543957753129747,0.703573191307145,-0.776009414913539,1.20713944144969,0.518671429809561,0.753631090380181,-0.673666927905731,1.33503083389982,0.503713867782626,0.773570450985993,-0.856279017703935,0.0415209542174973,0.0193750394369142,0.020074261884745,0.0564395864532269,0.132135366646975,0.024314242459061,0.0235932633932939,0.132164958865922,0.197469414670273,0.0257668796623439,0.025623537254124,0.198740190139447,NA,NA,NA,NA,0.207243144803513,0.0305256978782073,0.0341453892292761,0.24443718122661,0.0429276916541392,0.0195632765254899,0.0202674352309485,0.0603196120130003,0.142279279368376,0.0287211507510458,0.0280548247720601,0.148292282916223,0.234029909315375,0.0335436281088098,0.0326280205309845,0.245701163205596,NA,NA,NA,NA,0.269098715773495,0.0510206715660261,0.0547149924749054,0.333144787349025
800,0.05,80,4000085,-1,0,1,2,1.25347070239604,0.495653115337495,0.76513491879933,-1.02267786518378,1.022013977446,0.539145502130638,0.709357514171142,-0.429790527900583,1.42635596593671,0.528102168491675,0.695296272337487,-1.06450480736196,1.29072276927247,0.514194352364295,0.729941653292246,-0.78663962945119,1.39086474159047,0.508392973730463,0.736939192893421,-0.838226081135758,0.0344610714108677,0.0130452594938454,0.0132813488283601,0.0298563338267588,0.104794143903945,0.0186453405447724,0.0188102849545417,0.108515460222059,0.168769231285416,0.0192377675314491,0.0199714652388932,0.175147956567245,NA,NA,NA,NA,0.138827764155585,0.0230468394063376,0.0249289414285189,0.19448863610894,0.0366444864646775,0.0132300699826005,0.0135138663812313,0.0324173843794457,0.134572077901704,0.0263339645965313,0.0260884238675185,0.124468114112309,0.25827158617449,0.0314475984060834,0.0316947359793799,0.232079268985806,NA,NA,NA,NA,0.320928365997238,0.0512051676022298,0.0517532161512323,0.268545374364983
8000,0.05,80,4000085,-1,0,1,2,1.24761585002798,0.49932178808783,0.750761486691665,-1.00879277370694,0.97872972950628,0.521568181776022,0.734180963502021,-0.534133571398405,1.41933930594533,0.503652292705393,0.722440136480819,-1.2480010595955,1.25348848430469,0.487132197492411,0.761096525350089,-0.98079610199001,1.3585456225477,0.480795859174734,0.765349000190371,-1.09258492335784,0.0114240827514006,0.00431635396874217,0.00426404367404508,0.00975229872506642,0.0377035825387953,0.00758861894650127,0.00852668759355004,0.0511456828069574,0.0655519022907891,0.00840277173938969,0.00898304586326755,0.0871570903623551,NA,NA,NA,NA,0.0640150828082783,0.00837388351617074,0.00892661714904768,0.0716775182878699,0.0114578210201617,0.00432015396276727,0.00426643798362147,0.00980448410638669,0.0426743081426195,0.00915513488649746,0.00999274109409688,0.0551365955063528,0.079426149343772,0.0105240938396053,0.0109866932729287,0.0980062409583204,NA,NA,NA,NA,0.0681287948673636,0.00939777523924976,0.00983262502834847,0.0758444849976871
400,0.05,80,4000086,-1,0,1,2,1.27145191618707,0.498212401924595,0.742999991375369,-0.939103239052516,0.722192171506143,0.545988385484298,0.694844750201544,-0.376101997323836,1.00957174551712,0.524835636637428,0.677855487358603,-0.985592488110633,0.810890142532629,0.518514975506714,0.706332208699767,-0.802507835421432,0.922822386739657,0.494133479467362,0.724672163888938,-1.03048326264092,0.0700443720248248,0.0198806745939314,0.019754624740675,0.0486877934774496,0.0539349480402464,0.0205049860785946,0.0214866074997045,0.11870619557726,0.082756490517808,0.0213853001719702,0.0231192859693575,0.164861136793235,NA,NA,NA,NA,0.151462361722892,0.0279150377201504,0.029106586072838,0.294478527062606,0.0794576855841437,0.0205550868179007,0.0202329901308946,0.0599802226907811,0.0580683447107277,0.0218143020495362,0.0223171631758722,0.13341173011682,0.106885789031157,0.0251536197922634,0.0245329667055701,0.206384112127585,NA,NA,NA,NA,0.276327029119578,0.0770587726995185,0.0652289633771176,0.57668142675324
800,0.05,80,4000086,-1,0,1,2,1.25637309351577,0.527979100063093,0.752092726162875,-0.974167956053622,1.0185696908526,0.558051936699722,0.72995926991133,-0.413002450508282,1.48805285955508,0.539853573080562,0.717714252323755,-1.16122049559443,1.30488261307001,0.528864765093589,0.74681114768797,-0.74797011577308,1.50660174988574,0.513136186614309,0.760537951293692,-0.907075697421351,0.0335786606908937,0.0145546244020232,0.0147210198434448,0.0374236654404449,0.0669093677538209,0.015819683711142,0.0170811614761918,0.0744743189341043,0.100696479046175,0.0161220680258161,0.018971059952312,0.109131327509728,NA,NA,NA,NA,0.162462959819525,0.0249404554863903,0.0258469659042386,0.224776829991913,0.0419058881412809,0.0154364703513526,0.0154162390301362,0.046017453391114,0.0886556742660418,0.0199620959095061,0.0201800239355709,0.0847754824330634,0.111728576120728,0.0171086817087181,0.0195275533065877,0.119094115742863,NA,NA,NA,NA,0.766907459281322,0.107832797368771,0.098267384373709,0.478149838007685
8000,0.05,80,4000086,-1,0,1,2,1.24463714602781,0.499832712844165,0.74593096456513,-1.01088634916654,0.953637583313809,0.538031949268897,0.713795409737671,-0.447488520194656,1.35229176441339,0.522943745595204,0.699317417354901,-1.13512591765405,1.1849898195496,0.504539209623749,0.73955739305969,-0.930518775842818,1.28832282788939,0.496975022000332,0.744077678674447,-1.09338307607017,0.0106723340583042,0.00433839050282397,0.00439025530667823,0.0126521210396176,0.0265751940225583,0.00528542917220887,0.00537510307861638,0.0331608161960801,0.0430428827212158,0.00539443644660858,0.00574303389520184,0.0507063749858938,NA,NA,NA,NA,0.0562624232081003,0.00836667985578455,0.0088441900423213,0.0875201919259355,0.0107063354323,0.00434260854454939,0.00439346186048212,0.0127560976593907,0.0267521255653775,0.00534226086349258,0.00543018127688202,0.0335665988428981,0.0434924678623109,0.00546702458410654,0.0057882961996897,0.0516140432728212,NA,NA,NA,NA,0.0594751794808495,0.00927517025242051,0.00967697657632315,0.0933154676784251
400,0.05,80,4000087,-1,0,1,2,1.2912807904145,0.510437896609852,0.750829117745169,-0.933729260316403,1.03408041179892,0.533188736737424,0.714143674808311,-0.682257206819914,1.6110890330155,0.512646557503683,0.702979805621727,-1.53338010704815,1.27299991521567,0.506429456547919,0.73540989216881,-1.38620674956148,1.40169685196334,0.493586880503301,0.739242637229878,-1.70738383073348,0.0467249216254647,0.0198500865481004,0.0188305648997948,0.0467690791087216,0.0378710927452088,0.0210698715447413,0.0204003545674856,0.184831257454862,0.0737818661658871,0.0219642033572259,0.0219312920508007,0.264986720731892,NA,NA,NA,NA,0.168662666746653,0.0254220333579296,0.0288113748794926,0.354114571632817,0.0495340799250349,0.0200568551754219,0.0190940620495767,0.0515172906743006,0.0449401945021609,0.0219517749424323,0.0209763985787985,0.202508863854965,0.110433170429819,0.0242027706617451,0.0221224516700122,0.310937224442807,NA,NA,NA,NA,0.19349200837129,0.0277441069977308,0.0287192327362354,0.406713481187559
800,0.05,80,4000087,-1,0,1,2,1.22290489790341,0.510716196546322,0.76089257487317,-1.00877445418446,0.910170204400993,0.548016989579678,0.740877610411495,-0.372584688872996,1.2624990328169,0.532344525914925,0.728512144787817,-1.01830536801831,1.12813321651567,0.50959570326716,0.769818735894649,-0.897370303823923,1.25319316065263,0.4963004786825,0.780253152841123,-1.11968431807207,0.041578725846337,0.0136905763177164,0.0132683839954828,0.0450682068941479,0.0730383180149577,0.0153603624169414,0.0158900232514432,0.117237302045686,0.117981503408956,0.0158983512197062,0.0167964301591404,0.177063932954689,NA,NA,NA,NA,0.14400471018814,0.0225026126894068,0.0230523553432113,0.238906484970743,0.0443785060886496,0.0140249431243536,0.0135439501098465,0.05204517217202,0.0756834187479064,0.0162052721854575,0.0167062400572753,0.126116255929523,0.126891849759088,0.0173912840480437,0.0175354244465309,0.198602865170535,NA,NA,NA,NA,0.186316701651288,0.0347577990920489,0.0330283888610362,0.328201845482336
8000,0.05,80,4000087,-1,0,1,2,1.21415442901078,0.488180201262427,0.739850812632744,-0.986668136676261,0.888569242701287,0.529977603882085,0.707213809202146,-0.351686897065935,1.26331168213512,0.513545568070807,0.695577841016747,-0.985851445891776,1.07381198236292,0.505220307511473,0.726608475940414,-0.744544796995817,1.146949084831,0.500223914655612,0.729890183869096,-0.841251184571846,0.0128894196809825,0.00436430081439012,0.004384621329742,0.0130595831884029,0.0264345382892506,0.00566188229566387,0.0059766021314686,0.0399620005952301,0.0448282439075239,0.00603526480351626,0.00622691656579357,0.0642165156889364,NA,NA,NA,NA,0.0571243629546745,0.00772865318037448,0.00838311221373131,0.0775870957100808,0.012954391899332,0.00437008719135042,0.00438863615327196,0.0131718663670503,0.0269856528225546,0.00583087939205363,0.00615423599648136,0.0407144009511019,0.0466263170347651,0.00630010275227044,0.0064550355286119,0.0663566395621194,NA,NA,NA,NA,0.0596598566577465,0.00837349614388001,0.00900000232658408,0.0809869380547909
400,0.05,80,4000088,-1,0,1,2,1.28600516786404,0.507559335175002,0.74990532935552,-0.993303215119649,0.886439319433228,0.541804007368789,0.720205915316858,-0.45358628910221,1.24661177213822,0.529143387358951,0.697553949491453,-1.12288291888975,1.11034909794393,0.502607913502708,0.751836369245812,-0.86095965097927,1.30368959207033,0.475053273340089,0.772675426521241,-1.15813021922909,0.0598490174694556,0.0201677084874009,0.0217379981945216,0.0635164842565506,0.0523680240879495,0.0219893611976697,0.0232535378959244,0.123446832851604,0.078527016172422,0.0230834677503249,0.0263989754199965,0.183063240422336,NA,NA,NA,NA,0.094846473471205,0.029691377562892,0.0304383105838981,0.255331508208895,0.0709959280266633,0.0210345482099208,0.0223841170329829,0.0785576241486906,0.0553851460697469,0.0226916500249224,0.0233393709942232,0.132089034405916,0.0937279906625898,0.0248667437484464,0.0264654396008521,0.207397315282157,NA,NA,NA,NA,0.237299823712228,0.0575905713674806,0.0514855707708485,0.408871336770467
800,0.05,80,4000088,-1,0,1,2,1.22628579471902,0.506556734248237,0.753473044082485,-0.995161132129253,1.06556559735402,0.533771685069974,0.729409930574247,-0.638584309325305,1.51915008456471,0.521805891469089,0.706505856339857,-1.40597104127837,1.33743790877083,0.484875983544001,0.765544451652803,-1.3811880685739,1.52491648864264,0.464628443572466,0.773232984646842,-1.80678909311439,0.0286832483724046,0.0140637226071087,0.0136481809999473,0.0471371464583674,0.0729316255715038,0.0165664438145323,0.0156882283670736,0.149399408205607,0.124867144432454,0.0174044045404385,0.017122105675092,0.22807954884839,NA,NA,NA,NA,0.108508970287396,0.0229504496014475,0.0226640095351615,0.329363828013139,0.0296563605217337,0.014220663216461,0.013810105664513,0.051214319617932,0.0750403374020632,0.0173014822913202,0.0161192720279735,0.158890261047088,0.132223299745861,0.0188994084830427,0.0172804758747457,0.251500956791471,NA,NA,NA,NA,0.123353136284007,0.0277291003398435,0.0246458750049291,0.385489810564385
8000,0.05,80,4000088,-1,0,1,2,1.26047413010562,0.508713447383957,0.746438554436271,-0.9974684299379,0.937861169661304,0.542674496953243,0.721381763663873,-0.437852285852352,1.3253122523508,0.527377574383401,0.707016409108712,-1.10716388439364,1.18751116330894,0.505969405605458,0.753154458422767,-0.938731672887488,1.30907500014338,0.499011974731927,0.757552626627204,-1.0938855026406,0.0124426375337697,0.00436483418602884,0.00438755625726752,0.0129887656320488,0.0300098399402608,0.00611190114832583,0.00684548793429254,0.0525370148195631,0.0518063318594895,0.00661231929401323,0.00681284571958614,0.0839637975363627,NA,NA,NA,NA,0.0680530198277752,0.00917256188112282,0.010002260628017,0.0952830815083438,0.0125573124825338,0.00437518962419055,0.00439906653931145,0.0132044312486274,0.030851237375606,0.00638964478771789,0.00713188326054967,0.0538130368601226,0.0545325190893151,0.0070347127940195,0.0071777217432284,0.087302148854666,NA,NA,NA,NA,0.0715423279669327,0.0100084596675183,0.0107800068494631,0.100107476074061
400,0.05,80,4000089,-1,0,1,2,1.29132460120569,0.532600569819098,0.780664435358356,-0.978125386831912,0.824892059607302,0.5816156627402,0.740122093025767,-0.192308032201464,1.12001158239549,0.563239844840775,0.733318446117978,-0.716028377158311,0.972995369743115,0.54474715396904,0.776642793590373,-0.705673659296538,1.14377125895895,0.519556595982452,0.800679402947844,-1.19009368613348,0.0814732352049222,0.0214431860885498,0.0196669132506758,0.0761015177779574,0.0925757242258274,0.0232376780405191,0.0209736676718785,0.124378397035058,0.142533532062667,0.0240280343334392,0.0217415398263431,0.193805439175055,NA,NA,NA,NA,0.15904247736871,0.0294834314762739,0.0315567908679298,0.287261607296217,0.0881582227863329,0.0218914239594051,0.02012410236225,0.0891820229709947,0.0955649308734689,0.0240725484947158,0.0217649642707382,0.137729191526997,0.155827600988116,0.0261034789459565,0.0228684428729246,0.231710578646936,NA,NA,NA,NA,0.175785151304305,0.033104778617486,0.0337600919108053,0.350463680932677
